Address,Latitude,Longitude
"Cnr Mitchell Hwy and Wheelers Lane, Dubbo NSW 2830",-32.259148,148.6288334
"Molly Morgan Drive (Stockland Green Hills), East Maitland NSW 2323",-32.7627913,151.5913572
"97 Hume Highway, Chullora NSW 2190",-33.8918116,151.0578044
"736-742 Main Road, Edgeworth NSW 2285",-32.9243794,151.6206279
"119 Bridge Street (Cnr Belmore St), Tamworth NSW 2340",-31.0935599,150.9168233
"397 Pacific Highway, Belmont NSW 2280",-33.0242738,151.6641254
"48-50 Blaxland Road, Campbelltown NSW 2560",-34.0612926,150.8127865
"132 Old Bathurst Road, Emu Plains NSW 2750",-33.7429802,150.6559838
"Cnr Vardys & Turbo Roads, Marayong NSW 2148",-33.7456543,150.9046076
"662 Windsor Rd (cnr Meriville Rd), Kellyville NSW 2155",-33.6995448,150.9279843
"157 Narellan Rd (Cnr Smeaton Grange Rd), Mount Annan NSW 2567",-34.0468837,150.7603495
"1/155 Prospect Highway, Seven Hills NSW 2147",-33.769615,150.9420705
"186 Pacific Highway, Tuggerah NSW 2259",-33.293807,151.4224218
"1618 Canterbury Road (Cnr Gow Street), Punchbowl NSW 2196",-33.9339549,151.0392192
"185 Pitt Street, MERRYLANDS NSW 2160",-33.8341113,150.9916672
"300 New England Highway, Rutherford NSW 2320",-32.7147077,151.525237
"52 Great Western Hwy (cnr Albion St), Katoomba NSW 2780",-33.7071104,150.3067193
"2 Cary Grove (Cnr Ben Lomond Drive), Minto NSW 2566",-34.0260817,150.8371295
"Cnr Brook & Sowerby Streets, Muswellbrook NSW 2333",-32.2597588,150.8919811
"400 Parramatta Road, Burwood NSW 2134",-33.8687132,151.1014558
"774 Parramatta Road, Lewisham NSW 2049",-33.8903062,151.1478751
"66 Parker Street (Cnr Copeland St), Penrith NSW 2747",-33.7549584,150.7129772
"1 Woodland St, Riverstone NSW 2765",-33.6560279,150.872418
"244A Beardy Street, Armidale NSW 2350",-30.51269779999999,151.662452
"770 Richmond Road, Berkshire Park NSW 2765",-33.6664446,150.8010963
"Cnr Thirlmere Way & Remembrance Drive, Tahmoor NSW 2573",-34.2203007,150.5803548
"862 Hume Highway, Bass Hill NSW 2197",-33.9010731,150.9991332
"522 Pacific Highway (Cnr Renwick Rd), Wyoming NSW 2250",-33.404294,151.349961
"490 Cowpasture Road, Hoxton Park NSW 2171",-33.9164096,150.8548821
"742 Forest Road, Peakhurst NSW 2210",-33.9575264,151.0680849
"51 Roberts Road (Cnr Amarina St), Greenacre NSW 2190",-33.9003474,151.0655816
"357-361 Summer St (Cnr William), Orange NSW 2800",-33.2842841,149.1053719
"98-100 Minjungbal Drive (Pacific Hwy), Tweed Heads NSW 2486",-28.2050727,153.5448615
"27 Vesper Street (Cnr Princes Hwy & Guy St), Batemans Bay NSW 2536",-35.7121044,150.1743124
"987 Hume Highway, Lansdowne NSW 2163",-33.8893186,150.9708743
"477 Pacific Highway, Artarmon NSW 2064",-33.810539,151.1773721
"192-198 The Kingsway, WOOLOOWARE NSW 2230",-34.0462712,151.1334927
"110 Anzac Parade & Goodwood Street, Kensington NSW 2033",-33.9073465,151.2239812
"131 Anzac Parade & Todman Avenue, Kensington NSW 2033",-33.9102928,151.2229578
"494 Pacific Hwy, Killara NSW 2071",-33.7714523,151.1608021
"Corner Pacific Highway and Boundary Street, Roseville NSW 2069",-33.7873477,151.1790399
"132 LIVERPOOL RD, ASHFIELD NSW 2131",-33.8904894,151.1295398
"180 Stacey & Stanley Streets, Bankstown NSW 2200",-33.9209876,151.0389481
"Shop 1, 135-137 Popondetta Road, Emerton NSW 2770",-33.7446262,150.8102301
"238 Pacific Highway, Lindfield NSW 2070",-33.7787778,151.1690672
"Lot 6 Luxford Road, Mount Druitt NSW 2770",-33.7647752,150.8256906
"119 Stenhouse Dr, CAMERON PARK NSW 2285",-32.8961889,151.5974961
"900 Pacific Highway, LISAROW NSW 2250",-33.3846541,151.363296
"100 Gipps Street, Bega NSW 2550",-36.6756312,149.8433289
"261-265 Princes Highway, Bulli NSW 2516",-34.3356305,150.9132528
